Solved arise in 3 guesses       |  Average: 3.43  | 106/2315
Solved armor in 4 guesses       |  Average: 3.44  | 107/2315
Solved aroma in 4 guesses       |  Average: 3.44  | 108/2315
Solved arose in 3 guesses       |  Average: 3.44  | 109/2315
Solved array in 4 guesses       |  Average: 3.45  | 110/2315
Solved arrow in 4 guesses       |  Average: 3.45  | 111/2315
Solved arson in 3 guesses       |  Average: 3.45  | 112/2315
Solved artsy in 3 guesses       |  Average: 3.44  | 113/2315
Solved ascot in 3 guesses       |  Average: 3.44  | 114/2315
Solved ashen in 3 guesses       |  Average: 3.43  | 115/2315
Solved aside in 3 guesses       |  Average: 3.43  | 116/2315
Solved askew in 3 guesses       |  Average: 3.43  | 117/2315
Solved assay in 3 guesses       |  Average: 3.42  | 118/2315
Solved asset in 2 guesses       |  Average: 3.41  | 119/2315
Solved atoll in 3 guesses       |  Average: 3.41  | 120/2315
Solved atone in 3 guesses       |  Average: 3.40  | 121/2315
Solved attic in 3 guesses       |  Average: 3.40  | 122/2315
Solved audio in 4 guesses       |  Average: 3.41  | 123/2315
Solved audit in 3 guesses       |  Average: 3.40  | 124/2315
Solved augur in 4 guesses       |  Average: 3.41  | 125/2315
Solved aunty in 3 guesses       |  Average: 3.40  | 126/2315
Solved avail in 4 guesses       |  Average: 3.41  | 127/2315
Solved avert in 3 guesses       |  Average: 3.41  | 128/2315
Solved avian in 4 guesses       |  Average: 3.41  | 129/2315
Solved avoid in 3 guesses       |  Average: 3.41  | 130/2315
Solved await in 4 guesses       |  Average: 3.41  | 131/2315
Solved awake in 5 guesses       |  Average: 3.42  | 132/2315
Solved award in 4 guesses       |  Average: 3.43  | 133/2315
Solved aware in 4 guesses       |  Average: 3.43  | 134/2315
Solved awash in 4 guesses       |  Average: 3.44  | 135/2315
Solved awful in 4 guesses       |  Average: 3.44  | 136/2315
Solved awoke in 4 guesses       |  Average: 3.45  | 137/2315
Solved axial in 4 guesses       |  Average: 3.45  | 138/2315
Solved axiom in 4 guesses       |  Average: 3.45  | 139/2315
Solved axion in 4 guesses       |  Average: 3.46  | 140/2315
Solved azure in 4 guesses       |  Average: 3.46  | 141/2315
Solved bacon in 3 guesses       |  Average: 3.46  | 142/2315
Solved badge in 3 guesses       |  Average: 3.45  | 143/2315
Solved badly in 3 guesses       |  Average: 3.45  | 144/2315
Solved bagel in 3 guesses       |  Average: 3.45  | 145/2315
Solved baggy in 4 guesses       |  Average: 3.45  | 146/2315
Solved baker in 4 guesses       |  Average: 3.46  | 147/2315
Solved baler in 3 guesses       |  Average: 3.45  | 148/2315
Solved balmy in 3 guesses       |  Average: 3.45  | 149/2315
Solved banal in 3 guesses       |  Average: 3.45  | 150/2315
Solved banjo in 4 guesses       |  Average: 3.45  | 151/2315
Solved barge in 3 guesses       |  Average: 3.45  | 152/2315
Solved baron in 3 guesses       |  Average: 3.44  | 153/2315
Solved basal in 3 guesses       |  Average: 3.44  | 154/2315
Solved basic in 3 guesses       |  Average: 3.44  | 155/2315
Solved basil in 3 guesses       |  Average: 3.44  | 156/2315
Solved basin in 3 guesses       |  Average: 3.43  | 157/2315
Solved basis in 3 guesses       |  Average: 3.43  | 158/2315
Solved baste in 3 guesses       |  Average: 3.43  | 159/2315
Solved batch in 3 guesses       |  Average: 3.42  | 160/2315
Solved bathe in 3 guesses       |  Average: 3.42  | 161/2315
Solved baton in 3 guesses       |  Average: 3.42  | 162/2315
Solved batty in 3 guesses       |  Average: 3.42  | 163/2315
Solved bawdy in 4 guesses       |  Average: 3.42  | 164/2315
Solved bayou in 4 guesses       |  Average: 3.42  | 165/2315
Solved beach in 4 guesses       |  Average: 3.43  | 166/2315
Solved beady in 3 guesses       |  Average: 3.43  | 167/2315
Solved beard in 3 guesses       |  Average: 3.42  | 168/2315
Solved beast in 3 guesses       |  Average: 3.42  | 169/2315
Solved beech in 4 guesses       |  Average: 3.42  | 170/2315
Solved beefy in 4 guesses       |  Average: 3.43  | 171/2315
Solved befit in 3 guesses       |  Average: 3.42  | 172/2315
Solved began in 4 guesses       |  Average: 3.43  | 173/2315
Solved begat in 3 guesses       |  Average: 3.43  | 174/2315
Solved beget in 3 guesses       |  Average: 3.42  | 175/2315
Solved begin in 4 guesses       |  Average: 3.43  | 176/2315
Solved begun in 4 guesses       |  Average: 3.43  | 177/2315
Solved being in 4 guesses       |  Average: 3.43  | 178/2315
Solved belch in 3 guesses       |  Average: 3.43  | 179/2315
Solved belie in 3 guesses       |  Average: 3.43  | 180/2315
Solved belle in 4 guesses       |  Average: 3.43  | 181/2315
Solved belly in 4 guesses       |  Average: 3.43  | 182/2315
Solved below in 3 guesses       |  Average: 3.43  | 183/2315
Solved bench in 4 guesses       |  Average: 3.43  | 184/2315
Solved beret in 3 guesses       |  Average: 3.43  | 185/2315
Solved berry in 4 guesses       |  Average: 3.44  | 186/2315
Solved berth in 3 guesses       |  Average: 3.43  | 187/2315
Solved beset in 3 guesses       |  Average: 3.43  | 188/2315
Solved betel in 3 guesses       |  Average: 3.43  | 189/2315
Solved bevel in 3 guesses       |  Average: 3.43  | 190/2315
Solved bezel in 3 guesses       |  Average: 3.42  | 191/2315
Solved bible in 4 guesses       |  Average: 3.43  | 192/2315
Solved bicep in 3 guesses       |  Average: 3.42  | 193/2315
Solved biddy in 4 guesses       |  Average: 3.43  | 194/2315
Solved bigot in 3 guesses       |  Average: 3.43  | 195/2315
Solved bilge in 3 guesses       |  Average: 3.42  | 196/2315
Solved billy in 4 guesses       |  Average: 3.43  | 197/2315
Solved binge in 4 guesses       |  Average: 3.43  | 198/2315
Solved bingo in 4 guesses       |  Average: 3.43  | 199/2315
Solved biome in 4 guesses       |  Average: 3.44  | 200/2315
Solved birch in 4 guesses       |  Average: 3.44  | 201/2315
Solved birth in 4 guesses       |  Average: 3.44  | 202/2315
Solved bison in 3 guesses       |  Average: 3.44  | 203/2315
Solved bitty in 4 guesses       |  Average: 3.44  | 204/2315
Solved black in 4 guesses       |  Average: 3.44  | 205/2315
Solved blade in 5 guesses       |  Average: 3.45  | 206/2315
Solved blame in 4 guesses       |  Average: 3.45  | 207/2315
Solved bland in 4 guesses       |  Average: 3.46  | 208/2315
Solved blank in 4 guesses       |  Average: 3.46  | 209/2315
Solved blare in 4 guesses       |  Average: 3.46  | 210/2315
Solved blast in 2 guesses       |  Average: 3.45  | 211/2315
Solved blaze in 5 guesses       |  Average: 3.46  | 212/2315
Solved bleak in 4 guesses       |  Average: 3.46  | 213/2315
Solved bleat in 4 guesses       |  Average: 3.47  | 214/2315
Solved bleed in 4 guesses       |  Average: 3.47  | 215/2315
Solved bleep in 4 guesses       |  Average: 3.47  | 216/2315
Solved blend in 3 guesses       |  Average: 3.47  | 217/2315
Solved bless in 3 guesses       |  Average: 3.47  | 218/2315
Solved blimp in 4 guesses       |  Average: 3.47  | 219/2315
Solved blind in 4 guesses       |  Average: 3.47  | 220/2315
Solved blink in 4 guesses       |  Average: 3.48  | 221/2315
Solved bliss in 3 guesses       |  Average: 3.47  | 222/2315
Solved blitz in 3 guesses       |  Average: 3.47  | 223/2315
Solved bloat in 3 guesses       |  Average: 3.47  | 224/2315
Solved block in 4 guesses       |  Average: 3.47  | 225/2315
Solved bloke in 4 guesses       |  Average: 3.47  | 226/2315
Solved blond in 4 guesses       |  Average: 3.48  | 227/2315
Solved blood in 4 guesses       |  Average: 3.48  | 228/2315
Solved bloom in 4 guesses       |  Average: 3.48  | 229/2315
Solved blown in 4 guesses       |  Average: 3.48  | 230/2315
Solved bluer in 3 guesses       |  Average: 3.48  | 231/2315
Solved bluff in 4 guesses       |  Average: 3.48  | 232/2315
Solved blunt in 3 guesses       |  Average: 3.48  | 233/2315
Solved blurb in 3 guesses       |  Average: 3.48  | 234/2315
Solved blurt in 3 guesses       |  Average: 3.48  | 235/2315
Solved blush in 3 guesses       |  Average: 3.47  | 236/2315
Solved board in 3 guesses       |  Average: 3.47  | 237/2315
Solved boast in 3 guesses       |  Average: 3.47  | 238/2315
Solved bobby in 4 guesses       |  Average: 3.47  | 239/2315
Solved boney in 4 guesses       |  Average: 3.48  | 240/2315
Solved bongo in 4 guesses       |  Average: 3.48  | 241/2315
Solved bonus in 3 guesses       |  Average: 3.48  | 242/2315
Solved booby in 5 guesses       |  Average: 3.48  | 243/2315
Solved boost in 3 guesses       |  Average: 3.48  | 244/2315
Solved booth in 4 guesses       |  Average: 3.48  | 245/2315
Solved booty in 4 guesses       |  Average: 3.48  | 246/2315
Solved booze in 4 guesses       |  Average: 3.49  | 247/2315
Solved boozy in 5 guesses       |  Average: 3.49  | 248/2315
Solved borax in 3 guesses       |  Average: 3.49  | 249/2315
Solved borne in 4 guesses       |  Average: 3.49  | 250/2315
Solved bosom in 3 guesses       |  Average: 3.49  | 251/2315
Solved bossy in 4 guesses       |  Average: 3.49  | 252/2315
Solved botch in 4 guesses       |  Average: 3.49  | 253/2315
Solved bough in 4 guesses       |  Average: 3.50  | 254/2315
Solved boule in 4 guesses       |  Average: 3.50  | 255/2315
Solved bound in 4 guesses       |  Average: 3.50  | 256/2315
Solved bowel in 3 guesses       |  Average: 3.50  | 257/2315
Solved boxer in 5 guesses       |  Average: 3.50  | 258/2315
Solved brace in 4 guesses       |  Average: 3.51  | 259/2315
Solved braid in 3 guesses       |  Average: 3.50  | 260/2315
Solved brain in 4 guesses       |  Average: 3.51  | 261/2315
Solved brake in 4 guesses       |  Average: 3.51  | 262/2315
Solved brand in 3 guesses       |  Average: 3.51  | 263/2315
Solved brash in 3 guesses       |  Average: 3.50  | 264/2315
Solved brass in 3 guesses       |  Average: 3.50  | 265/2315
Solved brave in 4 guesses       |  Average: 3.50  | 266/2315
Solved bravo in 3 guesses       |  Average: 3.50  | 267/2315
Solved brawl in 4 guesses       |  Average: 3.50  | 268/2315
Solved brawn in 4 guesses       |  Average: 3.51  | 269/2315
Solved bread in 3 guesses       |  Average: 3.50  | 270/2315
Solved break in 3 guesses       |  Average: 3.50  | 271/2315
Solved breed in 4 guesses       |  Average: 3.50  | 272/2315
Solved briar in 3 guesses       |  Average: 3.50  | 273/2315
Solved bribe in 4 guesses       |  Average: 3.50  | 274/2315
Solved brick in 4 guesses       |  Average: 3.51  | 275/2315
Solved bride in 4 guesses       |  Average: 3.51  | 276/2315
Solved brief in 4 guesses       |  Average: 3.51  | 277/2315
Solved brine in 4 guesses       |  Average: 3.51  | 278/2315
Solved bring in 4 guesses       |  Average: 3.51  | 279/2315
Solved brink in 4 guesses       |  Average: 3.51  | 280/2315
Solved briny in 4 guesses       |  Average: 3.52  | 281/2315
Solved brisk in 4 guesses       |  Average: 3.52  | 282/2315
Solved broad in 3 guesses       |  Average: 3.52  | 283/2315
Solved broil in 4 guesses       |  Average: 3.52  | 284/2315
Solved broke in 4 guesses       |  Average: 3.52  | 285/2315
Solved brood in 4 guesses       |  Average: 3.52  | 286/2315
Solved brook in 5 guesses       |  Average: 3.53  | 287/2315
Solved broom in 4 guesses       |  Average: 3.53  | 288/2315
Solved broth in 4 guesses       |  Average: 3.53  | 289/2315
Solved brown in 5 guesses       |  Average: 3.53  | 290/2315
Solved brunt in 3 guesses       |  Average: 3.53  | 291/2315
Solved brush in 3 guesses       |  Average: 3.53  | 292/2315
Solved brute in 4 guesses       |  Average: 3.53  | 293/2315
Solved buddy in 4 guesses       |  Average: 3.53  | 294/2315
Solved budge in 4 guesses       |  Average: 3.54  | 295/2315
Solved buggy in 4 guesses       |  Average: 3.54  | 296/2315
Solved bugle in 4 guesses       |  Average: 3.54  | 297/2315
Solved build in 4 guesses       |  Average: 3.54  | 298/2315
Solved built in 3 guesses       |  Average: 3.54  | 299/2315
Solved bulge in 4 guesses       |  Average: 3.54  | 300/2315
Solved bulky in 4 guesses       |  Average: 3.54  | 301/2315
Solved bully in 4 guesses       |  Average: 3.54  | 302/2315
Solved bunch in 4 guesses       |  Average: 3.54  | 303/2315
Solved bunny in 5 guesses       |  Average: 3.55  | 304/2315
Solved burly in 3 guesses       |  Average: 3.55  | 305/2315
Solved burnt in 3 guesses       |  Average: 3.55  | 306/2315
Solved burst in 3 guesses       |  Average: 3.54  | 307/2315
Solved bused in 3 guesses       |  Average: 3.54  | 308/2315
Solved bushy in 5 guesses       |  Average: 3.55  | 309/2315
Solved butch in 4 guesses       |  Average: 3.55  | 310/2315
Solved butte in 4 guesses       |  Average: 3.55  | 311/2315
Solved buxom in 4 guesses       |  Average: 3.55  | 312/2315
Solved buyer in 4 guesses       |  Average: 3.55  | 313/2315
Solved bylaw in 3 guesses       |  Average: 3.55  | 314/2315
